HYUNDAI/KIA,"SONATA YF",98321-3S000,"ARM ASSY-W/SHLD WPR(PASSENGER)",1,329.3
HYUNDAI/KIA,"SONATA YF",54500-3S000,"ARM COMPLETE-FR LWR LH",7,1700.81
HYUNDAI/KIA,"SONATA YF",54501-3S100,"ARM COMPLETE-FR LWR RH",1,2211.83
HYUNDAI/KIA,"SONATA YF",54501-3S000,"ARM COMPLETE-FR LWR RH",8,2131.96
HYUNDAI/KIA,"SONATA YF",55210-3S000,"ARM COMPLETE-RR LWR,LH",1,1368.93
HYUNDAI/KIA,"SONATA YF",55220-3S000,"ARM COMPLETE-RR LWR,RH",1,1556.42
HYUNDAI/KIA,,96170-2PBB0VA,"Audio assy",1,18850
HYUNDAI/KIA,i30,98350-1H000,"BLADE ASSY-WIPER DS",20,578.79
HYUNDAI/KIA,i30,98360-1H000,"BLADE ASSY-WIPERPS",23,415.38
HYUNDAI/KIA,i30,86513-2L000,"BRACKET-FR BUMPER SIDE LH",20,34.79
HYUNDAI/KIA,i30,86552-2L000,"BRKT-FR BUMPER UPR SIDE MTG RH",1,37.87
HYUNDAI/KIA,"SONATA YF",55256-3R000,BUSH-RUBBER,18,348.68
HYUNDAI/KIA,"SONATA YF",55118-3R000,BUSHING,1,108.43
HYUNDAI/KIA,"SONATA YF",59760-3S300,"CABLE ASSY-PARKING BRAKE LH",4,198.89
HYUNDAI/KIA,"SONATA YF",59770-3S300,"CABLE ASSY-PARKING BRAKE RH",2,263.74
HYUNDAI/KIA,"SONATA YF",98623-3S000,"CAP-W/SHLD WASHER RSVR",3,22.12
HYUNDAI/KIA,"SONATA YF",41300-24580,"COVER ASSY-CLUTCH",1,1404.91
HYUNDAI/KIA,i30,86610-2R000,"COVER ASSY-RR BUMPER",2,6366.14
HYUNDAI/KIA,i30,86511-2R000,"COVER-FR BUMPER",4,5771.47
HYUNDAI/KIA,"SONATA YF",82652-3S030,"COVER-FR DR O/S HDL",2,97.38
HYUNDAI/KIA,"SONATA YF",83652-3S010,"COVER-RR DR O/S HDL",6,56.31
"General Motors",CRUZE,13230774,Cайлентблок,6,2749.46
HYUNDAI/KIA,"SONATA YF",81610-3S010,"FRAME ASSY-PANORAMAROOF(3RD)",1,21439.26
